age_group,decision_time_scale,t0_mean,t0_sd,score,condition_quantile_mae,condition_mean_mae,overall_quantile_mae,human_condition_gap,model_condition_gap,condition_gap_abs_error,caf_rmse,incongruent_caf_rmse,human_incongruent_error_minus_correct_rt,model_incongruent_error_minus_correct_rt,error_gap_abs_error
30-39,0.37,0.599,0.0,0.49078566947647084,0.10105834097613092,0.013941485103861617,0.07157499212724767,0.0573742659002322,0.08525723610795544,0.027882970207723234,0.09018647348688158,0.10360356095995531,-0.10704012899392612,-0.06444341975238854,0.04259670924153758
30-39,0.37,0.581,0.03,0.39149263041679216,0.08482997938434642,0.01381659404634683,0.0679384222201565,0.0573742659002322,0.08500745399292586,0.02763318809269366,0.039486706623875295,0.05336985249921357,-0.10704012899392612,-0.06214435913987015,0.04489576985405597
30-39,0.37,0.577,0.06,0.29517337060102217,0.06068581549994029,0.013691702988831989,0.0522867400174298,0.0573742659002322,0.08475767187789618,0.027383405977663977,0.02605379051117126,0.019385571704654086,-0.10704012899392612,-0.05984529852735154,0.04719483046657458
30-39,0.37,0.59,0.09,0.23214381928861572,0.03536276374359897,0.013566811931317313,0.030480105988427153,0.0573742659002322,0.08450788976286683,0.027133623862634626,0.025573423705088808,0.0325028394703587,-0.10704012899392612,-0.05754623791483293,0.04949389107909319
30-39,0.37,0.588,0.12,0.19767255473563305,0.019808340132417245,0.013441920873802526,0.01919128724903819,0.0573742659002322,0.08425810764783725,0.026883841747605053,0.025984610830258704,0.043030024854550576,-0.10704012899392612,-0.05524717730231443,0.05179295169161169
30-39,0.37,0.578,0.15,0.22332560494306256,0.02561540385454376,0.013317029816287684,0.025756935819807886,0.0573742659002322,0.08400832553280757,0.02663405963257537,0.026728262195660945,0.05273139779010393,-0.10704012899392612,-0.05294811668979571,0.05409201230413041
30-39,0.37,0.577,0.18,0.3079909336818999,0.052084811278485174,0.013192138758772953,0.052462500597896596,0.0573742659002322,0.08375854341777811,0.026384277517545907,0.02688494002225034,0.05955431964547716,-0.10704012899392612,-0.05064905607727721,0.05639107291664891
30-39,0.37,0.575,0.21,0.38908301363994025,0.0789680407635477,0.013067247701258167,0.07894549436899315,0.0573742659002322,0.08350876130274854,0.026134495402516333,0.027269030052423905,0.06065453750373184,-0.10704012899392612,-0.04834999546475849,0.05869013352916763
30-39,0.37,0.576,0.24,0.472586023586462,0.10687664388467968,0.012717189939020546,0.10625195738164346,0.0573742659002322,0.0828086457782733,0.02543437987804109,0.027092434368288097,0.06319401851492673,-0.10704012899392612,-0.04569649806993892,0.0613436309239872
40-49,0.37,0.578,0.0,0.36976904087910223,0.0811583372759174,0.009885304074375545,0.05279999288868307,0.06726351403210296,0.08703412218085405,0.01977060814875109,0.0689245964805018,0.07506962567711166,-0.08152539216243793,-0.06322126618545176,0.018304125976986163
40-49,0.37,0.563,0.03,0.28335873604933814,0.06518553278059094,0.009526119165993052,0.049650304912586506,0.06726351403210296,0.08631575236408906,0.019052238331986104,0.029192464781172534,0.03634015121368963,-0.08152539216243793,-0.06420817304740611,0.017317219115031812
40-49,0.37,0.561,0.06,0.20171461256112447,0.04135901278993117,0.00916693425761056,0.03492991360229033,0.06726351403210296,0.08559738254732407,0.01833386851522112,0.021142374511865947,0.019215070018808022,-0.08152539216243793,-0.06519507990936013,0.016330312253077794
40-49,0.37,0.569,0.09,0.14920801114598214,0.02260941477771254,0.008807749349228067,0.017334355320509698,0.06726351403210296,0.08487901273055909,0.017615498698456133,0.02081826121461634,0.026084464292786543,-0.08152539216243793,-0.06618198677131437,0.015343405391123555
