analysis_group,row_index,user_id,congruency,target_label,flanker_label,committed_winner,model_correct,commitment_step,commitment_time_s,pred_rt_s,target_state_at_commitment,strongest_wrong_state_at_commitment,target_minus_wrong_at_commitment,first_meaningful_step,first_meaningful_leader,first_meaningful_leader_wrong,any_wrong_leader_before_commitment,wrong_state_peak_before_commitment,distance_wrong_peak_to_threshold,precommit_reversal_step,precommit_reversal_time_s,trajectory_class,postcommit_target_recovery,postcommit_target_recovery_step,postcommit_recovery_delay_s,early_target_minus_flanker_input,rt_outcome_class,target_state_peak_before_commitment,early_target_evidence,early_flanker_evidence
young_20_29,27686,3875,incongruent,3,1,3,True,19,0.19,0.6210654807714141,0.122797891497612,0.09769134968519211,0.02510654181241989,0,1,True,True,0.104238361120224,0.015761638879775997,9,0.09,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.012467729859054089,FAST CORRECT,0.1204737052321434,0.6331966519355774,0.6207288503646851
young_20_29,157859,5675,incongruent,2,0,2,True,28,0.28,0.704038295117101,0.12252137809991837,0.06753823161125183,0.054983146488666534,0,0,True,True,0.1003086045384407,0.01969139546155929,9,0.09,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.015016714110970497,FAST CORRECT,0.1205456554889679,0.4168630540370941,0.401846319437027
young_20_29,32439,182,congruent,3,3,3,True,3,0.03,0.6693027847811088,0.13208405673503876,0.08575927466154099,0.04632478207349777,0,3,False,False,0.09613775461912155,0.023862245380878444,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12328989058732986,1.945136547088623,1.945136547088623
young_20_29,17704,5256,congruent,2,2,2,True,4,0.04,0.5849670031383453,0.1283884346485138,0.08316315710544586,0.04522527754306793,0,2,False,False,0.09621258080005646,0.023787419199943538,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12213759124279022,1.6068658828735352,1.6068658828735352
young_20_29,114524,5675,congruent,2,2,2,True,5,0.05,0.6170268697271959,0.12717334926128387,0.08137456327676773,0.045798785984516144,0,2,False,False,0.09642002731561661,0.023579972684383388,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12228643149137497,1.4255201816558838,1.4255201816558838
young_20_29,2994,182,incongruent,2,3,3,False,11,0.11,0.708769192708211,0.08374354988336563,0.12150859832763672,-0.03776504844427109,0,3,True,True,0.12025845795869827,-0.00025845795869827715,-1,,WRONG-COMMITMENT -> ERROR,True,34.0,0.23,-0.8910716772079468,FAST ERROR,0.09742753207683563,0.042175740003585815,0.9332475662231445
young_20_29,32060,5675,congruent,3,3,3,True,3,0.03,0.47936413468850064,0.13261495530605316,0.08519931137561798,0.04741564393043518,0,3,False,False,0.09596988558769226,0.024030114412307735,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.1240357980132103,1.9795564413070679,1.9795564413070679
young_20_29,19659,7862,congruent,2,2,2,True,4,0.04,0.535681191225358,0.12782281637191772,0.08372607082128525,0.04409674555063248,0,2,False,False,0.09635426104068756,0.023645738959312435,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12177575379610062,1.5933606624603271,1.5933606624603271
young_20_29,22246,3875,incongruent,0,3,0,True,30,0.3,0.7501632776611944,0.1239587813615799,0.10510697960853577,0.01885180175304413,0,3,True,True,0.10651445388793945,0.013485546112060542,24,0.24,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.28005892038345337,FAST CORRECT,0.12041793763637543,0.3508283197879791,0.6308872699737549
young_20_29,69175,2918,congruent,2,2,2,True,4,0.04,0.5413672510150236,0.13403397798538208,0.08230019360780716,0.05173378437757492,0,2,False,False,0.0960426777601242,0.02395732223987579,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12649688124656677,1.7671362161636353,1.7671362161636353
