rt_bin,rt_coordinate_s,value,age_group,source,signature
3,0.9298680155430763,0.9810111644466154,80-89,matched_human,H3_CAF
4,1.0171771220235304,0.9821207129456142,80-89,matched_human,H3_CAF
5,1.3192766633016966,0.9810245822224849,80-89,matched_human,H3_CAF
1,0.7351753891988011,0.05362335456586914,80-89,matched_human,H4_delta
2,0.8215941129852258,0.07624016895705568,80-89,matched_human,H4_delta
3,0.8876455327808889,0.0924915440270653,80-89,matched_human,H4_delta
4,0.9696068160633526,0.10237951427664366,80-89,matched_human,H4_delta
5,1.2596055492090763,0.13065629329072975,80-89,matched_human,H4_delta
1,0.6575251968067466,0.9420713559977724,80-89,C0v2,H3_CAF
2,0.858143466463919,0.9591781932403824,80-89,C0v2,H3_CAF
3,0.9851487303091726,0.9602934542578208,80-89,C0v2,H3_CAF
4,1.1133229202878376,0.9643964952683719,80-89,C0v2,H3_CAF
5,1.321496733739265,0.9695248840560173,80-89,C0v2,H3_CAF
1,0.6159333360737201,0.08947194838382735,80-89,C0v2,H4_delta
2,0.821723855543708,0.07813097083028822,80-89,C0v2,H4_delta
3,0.9439541043529622,0.08720955934164182,80-89,C0v2,H4_delta
4,1.0699979519070397,0.09134564193876615,80-89,C0v2,H4_delta
5,1.2722573442733887,0.10427462018574551,80-89,C0v2,H4_delta
