source,seed_id,analysis_group,user_id,congruency,rt_bin,n_trials,mean_rt,median_rt,error_rate,scheme
model,5,young_20_29,4790,0,3,25,0.6415096962874707,0.6448024558822268,0.04,raw
model,5,young_20_29,4790,0,4,24,0.7597905110277816,0.738326124787324,0.0,raw
model,5,young_20_29,1478,0,1,22,0.4315262796429265,0.44558157480446337,0.0,raw
model,5,young_20_29,1478,0,2,22,0.5409067495928599,0.5418380891153349,0.09090909090909091,raw
model,5,young_20_29,1478,0,3,22,0.6347068661364649,0.6371156755187879,0.0,raw
model,5,young_20_29,1478,0,4,22,0.762563096757455,0.7323032522105372,0.0,raw
model,5,young_20_29,5256,0,1,23,0.4270905614832458,0.4251459679502339,0.0,raw
model,5,young_20_29,5256,0,2,23,0.5318273342637868,0.5352753511501314,0.043478260869565216,raw
model,5,young_20_29,5256,0,3,22,0.6055959395274504,0.6077611432806389,0.0,raw
model,5,young_20_29,5256,0,4,22,0.7208072516391169,0.6933333494361957,0.0,raw
model,5,young_20_29,182,0,1,34,0.42181897544151914,0.4283298477282935,0.029411764705882353,raw
model,5,young_20_29,182,0,2,34,0.54181135645259,0.5421609483834222,0.0,raw
model,5,young_20_29,182,0,3,34,0.6251521206603049,0.6180865660569996,0.029411764705882353,raw
model,5,young_20_29,182,0,4,34,0.7600093714548338,0.7490570474092264,0.0,raw
model,5,young_20_29,4790,1,1,25,0.6290456736232972,0.6269192679126414,0.28,raw
model,5,young_20_29,4790,1,2,25,0.7747808754063792,0.7742275233999605,0.16,raw
model,5,young_20_29,4790,1,3,24,0.8846351173578709,0.8877384868343099,0.125,raw
model,5,young_20_29,4790,1,4,24,1.061644130748842,1.050312494506453,0.08333333333333333,raw
model,5,young_20_29,1478,1,1,22,0.5815077848699296,0.5860114584068924,0.3181818181818182,raw
model,5,young_20_29,1478,1,2,22,0.7471547581208854,0.7521643448970767,0.22727272727272727,raw
model,5,young_20_29,1478,1,3,22,0.8829024346263882,0.8715672854498961,0.045454545454545456,raw
model,5,young_20_29,1478,1,4,21,1.0924604131072442,1.070531913243733,0.047619047619047616,raw
model,5,young_20_29,4398,1,1,27,0.5830960460741431,0.608904517437837,0.2222222222222222,raw
model,5,young_20_29,4398,1,2,27,0.7615822285712395,0.7637602298953482,0.1111111111111111,raw
model,5,young_20_29,4398,1,3,26,0.8855418662875905,0.8926437316052475,0.0,raw
