candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,presentation_floor_60hz,2,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.0373834265920597
current_evidence__saved_gate_execution,presentation_floor_60hz,2,young_20_29,0,correct,2457,2448,0.55,0.5833333333333334,0.037798142761378044
current_evidence__saved_gate_execution,presentation_floor_60hz,2,young_20_29,0,error,45,54,0.5333333333333333,0.55,0.02814814814814815
current_evidence__saved_gate_execution,presentation_floor_60hz,2,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.2090405657859621
current_evidence__saved_gate_execution,presentation_floor_60hz,2,young_20_29,1,correct,2290,2139,0.6,0.8333333333333334,0.22664523070201767
current_evidence__saved_gate_execution,presentation_floor_60hz,2,young_20_29,1,error,208,359,0.55,0.6833333333333333,0.13477720341404184
current_evidence__saved_gate_execution,presentation_floor_60hz,2,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.07834462601301985
current_evidence__saved_gate_execution,presentation_floor_60hz,2,older_80_89,0,correct,2484,2480,0.8166666666666667,0.8,0.0803819931432134
current_evidence__saved_gate_execution,presentation_floor_60hz,2,older_80_89,0,error,25,29,0.6833333333333333,0.7166666666666667,0.14144827586206898
current_evidence__saved_gate_execution,presentation_floor_60hz,2,older_80_89,1,all,2491,2491,0.9166666666666666,1.1,0.16611133413622378
current_evidence__saved_gate_execution,presentation_floor_60hz,2,older_80_89,1,correct,2394,2329,0.9333333333333333,1.1166666666666667,0.16875204087696477
current_evidence__saved_gate_execution,presentation_floor_60hz,2,older_80_89,1,error,97,162,0.75,0.9666666666666667,0.20282974841966822
current_evidence__saved_gate_execution,presentation_floor_60hz,3,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.035718092192912346
current_evidence__saved_gate_execution,presentation_floor_60hz,3,young_20_29,0,correct,2457,2447,0.55,0.5833333333333334,0.03608365480045086
current_evidence__saved_gate_execution,presentation_floor_60hz,3,young_20_29,0,error,45,55,0.5333333333333333,0.5333333333333333,0.02545454545454545
current_evidence__saved_gate_execution,presentation_floor_60hz,3,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.20962770216172938
current_evidence__saved_gate_execution,presentation_floor_60hz,3,young_20_29,1,correct,2290,2156,0.6,0.85,0.22701680831125626
current_evidence__saved_gate_execution,presentation_floor_60hz,3,young_20_29,1,error,208,342,0.55,0.6666666666666666,0.13081280926675662
current_evidence__saved_gate_execution,presentation_floor_60hz,3,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.07760063770426467
current_evidence__saved_gate_execution,presentation_floor_60hz,3,older_80_89,0,correct,2484,2482,0.8166666666666667,0.8,0.08014988107611522
current_evidence__saved_gate_execution,presentation_floor_60hz,3,older_80_89,0,error,25,27,0.6833333333333333,0.7333333333333333,0.18244444444444444
current_evidence__saved_gate_execution,presentation_floor_60hz,3,older_80_89,1,all,2491,2491,0.9166666666666666,1.1,0.1682925197377225
