candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,raw,8,young_20_29,1,all,2498,2498,0.6039999723434448,0.8281875026060724,0.20796384512505378
current_evidence__saved_gate_execution,raw,8,young_20_29,1,correct,2290,2161,0.609000027179718,0.8469305926078674,0.22542152772561394
current_evidence__saved_gate_execution,raw,8,young_20_29,1,error,208,337,0.5509999990463257,0.6704044706422366,0.12416357478071034
current_evidence__saved_gate_execution,raw,8,older_80_89,0,all,2509,2509,0.8230000138282776,0.8081392481508166,0.0777261717365655
current_evidence__saved_gate_execution,raw,8,older_80_89,0,correct,2484,2484,0.8230000138282776,0.8077925960831219,0.08130873543577799
current_evidence__saved_gate_execution,raw,8,older_80_89,0,error,25,25,0.6899999976158142,0.8731295534881305,0.27823735741718747
current_evidence__saved_gate_execution,raw,8,older_80_89,1,all,2491,2491,0.9330000281333924,1.1156213692450687,0.16611144419074864
current_evidence__saved_gate_execution,raw,8,older_80_89,1,correct,2394,2339,0.9404999911785126,1.1238940606558034,0.16947616908164434
current_evidence__saved_gate_execution,raw,8,older_80_89,1,error,97,152,0.7599999904632568,0.941586540505482,0.18016564287880704
current_evidence__saved_gate_execution,raw,9,young_20_29,0,all,2502,2502,0.5600000023841858,0.5861354324689337,0.03696151350560627
current_evidence__saved_gate_execution,raw,9,young_20_29,0,correct,2457,2450,0.5609999895095825,0.5868695646943389,0.037436356579251484
current_evidence__saved_gate_execution,raw,9,young_20_29,0,error,45,52,0.5450000166893005,0.5506160363195514,0.018946400462782637
current_evidence__saved_gate_execution,raw,9,young_20_29,1,all,2498,2498,0.6039999723434448,0.8287355945909651,0.20939519267675316
current_evidence__saved_gate_execution,raw,9,young_20_29,1,correct,2290,2160,0.609000027179718,0.8514703139297,0.22722152916690036
current_evidence__saved_gate_execution,raw,9,young_20_29,1,error,208,338,0.5509999990463257,0.675544107743105,0.12526857005912784
current_evidence__saved_gate_execution,raw,9,older_80_89,0,all,2509,2509,0.8230000138282776,0.8059725662021121,0.0792626690040658
current_evidence__saved_gate_execution,raw,9,older_80_89,0,correct,2484,2493,0.8230000138282776,0.8057787557301154,0.08249759390593094
current_evidence__saved_gate_execution,raw,9,older_80_89,0,error,25,16,0.6899999976158142,0.8958309751426068,0.2611069379385347
current_evidence__saved_gate_execution,raw,9,older_80_89,1,all,2491,2491,0.9330000281333924,1.1162511821099683,0.16720057015506878
