age_group,analysis_group,trial_output_index,row_index,target_direction,flanker_direction,final_response,correct,rt,decision_time,t0,hard_first_crossing_channel,evidence_winner_at_crossing,state_winner_at_crossing,winner_runner_up_evidence_gap,winner_runner_up_state_gap,fallback_used,response_type,error_source_category,rt_quantile_bin
Older,older_80_89,88,26704,2,1,2,True,0.8065251546619556,0.06,0.7465251546619556,1,1,1,1.6894547939300537,0.05730845779180527,False,target,correct,2
Older,older_80_89,90,26507,0,2,2,False,1.5516426434290789,0.79,0.7616426434290788,0,0,0,0.9558744430541992,0.026653848588466644,True,flanker,fallback,5
Older,older_80_89,91,163,2,1,2,True,0.7988998466620048,0.4,0.39889984666200473,2,2,2,1.0850170850753784,0.049365364015102386,False,target,correct,2
Older,older_80_89,93,27358,3,2,2,False,0.9311155773641887,0.12,0.8111155773641887,2,2,2,0.943645715713501,0.06092265993356705,False,flanker,evidence-origin,3
Older,older_80_89,94,33378,3,0,3,True,0.9462546129857667,0.11,0.8362546129857668,0,0,0,1.1004419326782227,0.06301845610141754,False,target,correct,3
Older,older_80_89,95,29280,3,2,3,True,1.2023723762319751,0.75,0.4523723762319751,3,3,3,0.8916624784469604,0.04793264716863632,False,target,correct,4
Older,older_80_89,96,22302,1,0,1,True,0.8747209374564857,0.17,0.7047209374564857,0,0,0,0.4328491687774658,0.06596078723669052,False,target,correct,2
Older,older_80_89,98,21710,3,2,3,True,0.8250468704351274,0.18,0.6450468704351273,2,2,2,0.506489098072052,0.06134410947561264,False,target,correct,2
Older,older_80_89,102,22262,0,1,0,True,1.2260747777221463,0.27,0.9560747777221463,0,0,0,1.3504403829574585,0.028361104428768158,False,target,correct,4
Older,older_80_89,104,4054,0,2,2,False,0.5832846978318649,0.17,0.41328469783186483,2,2,2,0.48131102323532104,0.05402805656194687,False,flanker,evidence-origin,1
Older,older_80_89,105,19876,3,1,3,True,0.5290069121585091,0.11,0.41900691215850916,1,1,1,0.8461346626281738,0.052991777658462524,False,target,correct,1
Older,older_80_89,109,27447,1,2,1,True,1.201784939885951,0.51,0.691784939885951,1,1,1,0.6805006265640259,0.026082843542099,False,target,correct,4
Older,older_80_89,111,3450,1,3,3,False,0.9109905738187903,0.11,0.8009905738187904,3,3,3,0.8773378133773804,0.05566675215959549,False,flanker,evidence-origin,2
Older,older_80_89,113,8306,2,0,2,True,1.0822653877963653,0.1,0.9822653877963653,0,0,0,0.9696834087371826,0.05821558088064194,False,target,correct,4
Older,older_80_89,119,23720,1,0,1,True,1.117458151222567,0.14,0.977458151222567,0,0,0,0.637165904045105,0.06005173921585083,False,target,correct,4
Older,older_80_89,120,21906,0,3,0,True,0.8904711765008835,0.13,0.7604711765008835,3,3,3,0.5634263753890991,0.05526234209537506,False,target,correct,2
Older,older_80_89,123,33821,0,3,0,True,1.1284541242880746,0.76,0.36845412428807456,0,0,0,1.2172447443008423,0.029771842062473297,False,target,correct,4
Older,older_80_89,124,2325,0,3,3,False,0.7768277606165376,0.11,0.6668277606165376,3,3,3,1.018579125404358,0.06383238732814789,False,flanker,evidence-origin,2
Older,older_80_89,125,24678,1,3,3,False,0.8351653328723168,0.12,0.7151653328723168,3,3,3,0.9801886081695557,0.0603640154004097,False,flanker,evidence-origin,2
Older,older_80_89,128,25181,1,2,1,True,1.049828351754334,0.51,0.5398283517543341,1,1,1,0.6303133368492126,0.04552247375249863,False,target,correct,3
Older,older_80_89,131,14600,1,0,0,False,0.8191474730084575,0.08,0.7391474730084575,0,0,0,1.4943002462387085,0.06459429860115051,False,flanker,evidence-origin,2
Older,older_80_89,132,19770,1,3,3,False,0.8887550122482079,0.11,0.7787550122482079,3,3,3,0.8890870213508606,0.05531066656112671,False,flanker,evidence-origin,2
Older,older_80_89,134,15949,1,2,1,True,1.3266959224043056,0.21,1.1166959224043056,2,2,2,0.39985865354537964,0.06230894476175308,False,target,correct,5
Older,older_80_89,138,25095,3,2,3,True,0.6891034528710611,0.21,0.47910345287106115,2,2,2,0.3426091969013214,0.058871038258075714,False,target,correct,1
Older,older_80_89,140,9742,3,0,3,True,0.5018217305284074,0.13,0.3718217305284074,0,0,0,0.5708620548248291,0.05289634317159653,False,target,correct,1
Older,older_80_89,144,28128,2,3,2,True,1.392530083065534,0.72,0.6725300830655341,2,2,2,0.8735231161117554,0.023424558341503143,False,target,correct,5
Older,older_80_89,145,396,1,3,3,False,0.8759514737729887,0.09,0.7859514737729887,3,3,3,1.2733802795410156,0.0625397190451622,False,flanker,evidence-origin,2
Older,older_80_89,146,8016,2,1,1,False,0.38999998569488525,0.14,0.24999998569488524,1,1,1,0.9225701093673706,0.06396710127592087,False,flanker,evidence-origin,1
Older,older_80_89,149,28208,2,1,2,True,1.163070630162177,0.41000000000000003,0.7530706301621769,2,2,2,1.1813874244689941,0.04718593508005142,False,target,correct,4
Older,older_80_89,151,14692,2,3,3,False,1.035098337472112,0.1,0.9350983374721121,3,3,3,1.3609397411346436,0.06589236855506897,False,flanker,evidence-origin,3
Older,older_80_89,152,32136,3,1,3,True,0.98090377946461,0.16,0.82090377946461,1,1,1,0.22821980714797974,0.04228104650974274,False,target,correct,3
Older,older_80_89,154,11707,2,3,3,False,0.9439390845228417,0.14,0.8039390845228417,3,3,3,0.8257324695587158,0.06430447846651077,False,flanker,evidence-origin,3
Older,older_80_89,159,33512,3,1,3,True,1.39179929172766,0.74,0.65179929172766,3,3,3,0.7877382040023804,0.05023244768381119,False,target,correct,5
Older,older_80_89,162,1804,1,0,0,False,0.9258313165174121,0.1,0.8258313165174122,0,0,0,1.295490026473999,0.06601298600435257,False,flanker,evidence-origin,3
Older,older_80_89,167,23182,3,2,3,True,1.5617402369874855,0.63,0.9317402369874855,3,3,3,0.9218851327896118,0.057885780930519104,False,target,correct,5
Older,older_80_89,168,23761,3,2,3,True,0.6424196178341574,0.15,0.49241961783415733,2,2,2,0.7891861796379089,0.06424698233604431,False,target,correct,1
Older,older_80_89,171,3695,0,1,0,True,1.236828477247538,0.7000000000000001,0.5368284772475379,0,0,0,1.0023577213287354,0.06912626326084137,False,target,correct,4
Older,older_80_89,174,14194,0,2,2,False,1.0955656532863869,0.23,0.8655656532863869,2,2,2,0.2791401445865631,0.05206649750471115,False,flanker,evidence-origin,4
Older,older_80_89,175,8821,1,0,1,True,1.49313135616088,0.75,0.7431313561608801,1,1,1,0.9617146849632263,0.07882910221815109,False,target,correct,5
Older,older_80_89,176,16758,0,1,0,True,1.2066910002067566,0.17,1.0366910002067566,1,1,1,0.42316073179244995,0.05883745849132538,False,target,correct,4
Older,older_80_89,178,8271,3,2,3,True,0.600243116209838,0.13,0.47024311620983794,2,2,2,0.8202520608901978,0.06181129813194275,False,target,correct,1
Older,older_80_89,180,24287,3,1,3,True,0.7911757934750738,0.31,0.48117579347507383,3,3,3,0.7742667198181152,0.024183452129364014,False,target,correct,2
Older,older_80_89,181,18577,1,0,0,False,0.917697617484534,0.11,0.8076976174845341,0,0,0,1.1551389694213867,0.06593594700098038,False,flanker,evidence-origin,3
Older,older_80_89,182,7748,3,2,3,True,0.9431621967854052,0.23,0.7131621967854053,2,2,2,0.2485429048538208,0.06042987108230591,False,target,correct,3
Older,older_80_89,183,18073,2,0,2,True,1.02325606365683,0.09,0.93325606365683,0,0,0,0.966890811920166,0.05440659821033478,False,target,correct,3
Older,older_80_89,184,17980,0,2,2,False,0.7861808773147474,0.09,0.6961808773147474,2,2,2,1.3879092931747437,0.06448438763618469,False,flanker,evidence-origin,2
Older,older_80_89,187,18616,1,2,1,True,1.4365823710247496,0.55,0.8865823710247496,1,1,1,0.8098300099372864,0.038868263363838196,False,target,correct,5
Older,older_80_89,188,654,1,3,3,False,0.8636605957425896,0.08,0.7836605957425896,3,3,3,1.1985019445419312,0.05640871822834015,False,flanker,evidence-origin,2
Older,older_80_89,189,22439,3,2,3,True,0.8186256506383249,0.18,0.638625650638325,2,2,2,0.5275959968566895,0.06139770895242691,False,target,correct,2
Older,older_80_89,193,34537,2,1,2,True,0.7568581033623664,0.14,0.6168581033623664,1,1,1,0.8815747499465942,0.06053580343723297,False,target,correct,1
Older,older_80_89,195,10409,3,2,3,True,1.205211824028725,0.72,0.4852118240287251,3,3,3,0.8190980553627014,0.05244787782430649,False,target,correct,4
Older,older_80_89,196,25996,2,3,2,True,0.9936467655707464,0.2,0.7936467655707464,3,3,3,0.42865440249443054,0.06215354800224304,False,target,correct,3
Older,older_80_89,198,13473,3,0,3,True,1.1147327603025383,0.17,0.9447327603025383,0,0,0,0.6386751532554626,0.061102353036403656,False,target,correct,4
Older,older_80_89,199,15227,3,2,3,True,1.1813375183093549,0.18,1.001337518309355,2,2,2,0.5950548052787781,0.06642226874828339,False,target,correct,4
Older,older_80_89,200,28581,3,2,3,True,0.8695708047384041,0.24,0.6295708047384041,2,2,2,0.1538727879524231,0.05724722892045975,False,target,correct,2
Older,older_80_89,203,5756,2,3,3,False,0.5937767606622257,0.13,0.46377676066222573,3,3,3,0.958747148513794,0.06495246291160583,False,flanker,evidence-origin,1
Older,older_80_89,204,24666,3,0,3,True,0.949949838453591,0.18,0.769949838453591,0,0,0,0.6377420425415039,0.06691592186689377,False,target,correct,3
Older,older_80_89,208,31267,0,2,2,False,1.2988947153490555,0.79,0.5088947153490555,0,0,0,0.8954921960830688,0.036232538521289825,True,flanker,fallback,5
Older,older_80_89,209,9137,1,2,1,True,1.909999966621399,0.66,1.2499999666213988,1,1,1,0.8968459367752075,0.05362631380558014,False,target,correct,5
Older,older_80_89,211,29312,3,2,3,True,1.4859999794606422,0.67,0.8159999794606422,3,3,3,0.7874668836593628,0.04985389858484268,False,target,correct,5
Older,older_80_89,212,34182,1,0,0,False,0.7133522823666071,0.11,0.6033522823666071,0,0,0,0.9994258880615234,0.0616055503487587,False,flanker,evidence-origin,1
Older,older_80_89,213,23753,1,3,1,True,0.7658298384191182,0.07,0.6958298384191182,3,3,3,1.0252434015274048,0.04770942032337189,False,target,correct,1
Older,older_80_89,214,17714,1,2,1,True,0.8658321653869938,0.12,0.7458321653869938,2,2,2,0.59447181224823,0.04973886162042618,False,target,correct,2
Older,older_80_89,215,14124,1,0,0,False,0.961929256140663,0.14,0.821929256140663,0,0,0,0.9910695552825928,0.07202868908643723,False,flanker,evidence-origin,3
Older,older_80_89,218,10907,1,0,0,False,0.7526317749442591,0.08,0.6726317749442592,0,0,0,1.4442548751831055,0.06126987189054489,False,flanker,evidence-origin,1
Older,older_80_89,220,12986,2,1,2,True,1.176071431770795,0.11,1.0660714317707949,1,1,1,1.1894277334213257,0.06538596004247665,False,target,correct,4
Older,older_80_89,221,25794,3,0,3,True,0.937443392470825,0.1,0.837443392470825,0,0,0,1.1660600900650024,0.06138633191585541,False,target,correct,3
Older,older_80_89,223,19161,0,3,0,True,1.372573445909032,0.76,0.612573445909032,0,0,0,1.0929441452026367,0.025041691958904266,False,target,correct,5
Older,older_80_89,224,20282,3,0,3,True,1.0026013865766799,0.11,0.8926013865766799,0,0,0,1.1659181118011475,0.06342903524637222,False,target,correct,3
Older,older_80_89,226,1585,2,1,2,True,0.799973501576434,0.18,0.619973501576434,1,1,1,0.4115576446056366,0.05933886021375656,False,target,correct,2
Older,older_80_89,228,224,3,0,3,True,0.6834707831812712,0.11,0.5734707831812712,0,0,0,1.1601091623306274,0.06404239684343338,False,target,correct,1
Older,older_80_89,230,13334,3,2,2,False,0.7714949406582408,0.11,0.6614949406582408,2,2,2,1.075992465019226,0.061602845788002014,False,flanker,evidence-origin,2
Older,older_80_89,232,17317,1,0,1,True,0.8924208560862015,0.15,0.7424208560862015,0,0,0,0.673326313495636,0.06300992518663406,False,target,correct,2
Older,older_80_89,233,1370,0,3,3,False,0.856778198757807,0.08,0.7767781987578071,3,3,3,1.2538809776306152,0.05766257643699646,False,flanker,evidence-origin,2
Older,older_80_89,236,6002,0,1,0,True,1.0846334183419297,0.08,1.0046334183419297,1,1,1,1.3481595516204834,0.06102559715509415,False,target,correct,4
Older,older_80_89,237,28025,0,2,2,False,1.529781497668958,0.79,0.7397814976689581,0,0,0,0.9031700491905212,0.018376655876636505,True,flanker,fallback,5
Older,older_80_89,239,9199,1,2,1,True,0.9234187189121897,0.21,0.7134187189121898,2,1,2,0.33624881505966187,0.040371619164943695,False,target,correct,3
Older,older_80_89,242,2000,1,0,0,False,0.8580163452605375,0.09,0.7680163452605375,0,0,0,1.3381584882736206,0.06297655403614044,False,flanker,evidence-origin,2
Older,older_80_89,243,23403,1,2,1,True,0.6050931738023999,0.1,0.5050931738023999,2,2,2,0.7076960206031799,0.0496567040681839,False,target,correct,1
Older,older_80_89,245,14626,3,2,3,True,0.7510498621762579,0.23,0.5210498621762579,2,2,2,0.24494168162345886,0.06108776479959488,False,target,correct,1
Older,older_80_89,248,20488,3,1,3,True,1.0324818448302262,0.15,0.8824818448302262,1,1,1,0.3984651565551758,0.05041032284498215,False,target,correct,3
Older,older_80_89,250,8206,0,2,0,True,1.4715546698438697,0.79,0.6815546698438697,0,0,0,1.0876113176345825,0.05507882684469223,True,target,correct,5
Older,older_80_89,252,29813,3,2,3,True,1.334822809438777,0.18,1.1548228094387771,2,2,2,0.5778472423553467,0.06266554445028305,False,target,correct,5
Older,older_80_89,253,23192,1,2,1,True,1.148377745066048,0.21,0.938377745066048,2,2,2,0.6378059387207031,0.07049967348575592,False,target,correct,4
Older,older_80_89,254,18279,1,0,0,False,0.8084017882670524,0.09,0.7184017882670525,0,0,0,1.098180890083313,0.056887298822402954,False,flanker,evidence-origin,2
Older,older_80_89,255,7627,0,2,2,False,0.7985952237295936,0.12,0.6785952237295936,2,2,2,0.9814408421516418,0.06068729609251022,False,flanker,evidence-origin,2
Older,older_80_89,256,16596,2,0,0,False,0.47178748955163213,0.09,0.3817874895516321,0,0,0,1.2062182426452637,0.058027878403663635,False,flanker,evidence-origin,1
Older,older_80_89,257,29938,3,0,3,True,0.9132049927892066,0.1,0.8132049927892067,0,0,0,1.157503366470337,0.06030616909265518,False,target,correct,2
Older,older_80_89,259,34627,1,2,1,True,1.248132306104357,0.15,1.098132306104357,2,2,2,0.6516176462173462,0.06299720704555511,False,target,correct,4
Older,older_80_89,262,9425,3,2,3,True,1.0091783670210477,0.11,0.8991783670210477,2,2,2,1.158177375793457,0.06599374115467072,False,target,correct,3
Older,older_80_89,263,1625,3,2,3,True,1.2188280402385319,0.2,1.018828040238532,2,2,2,0.4958800673484802,0.06350135058164597,False,target,correct,4
Older,older_80_89,264,13404,0,2,2,False,1.3450582809474743,0.79,0.5550582809474742,0,0,0,0.6947444081306458,0.013835899531841278,True,flanker,fallback,5
Older,older_80_89,266,14361,3,0,3,True,0.6715299764003442,0.12,0.5515299764003442,0,0,0,1.1919801235198975,0.0691090077161789,False,target,correct,1
Older,older_80_89,268,8748,0,3,3,False,1.0604660404606725,0.15,0.9104660404606725,3,3,3,0.4590912163257599,0.05707752704620361,False,flanker,evidence-origin,4
Older,older_80_89,269,2718,2,3,2,True,1.5437728287372425,0.56,0.9837728287372425,2,2,2,0.5749425292015076,0.027362346649169922,False,target,correct,5
Older,older_80_89,271,19008,1,2,1,True,1.1982918990530231,0.54,0.6582918990530231,1,1,1,0.6909952759742737,0.04653766006231308,False,target,correct,4
Older,older_80_89,273,23210,2,0,2,True,1.0196279891723223,0.12,0.8996279891723223,0,0,0,0.6555846929550171,0.05110182613134384,False,target,correct,3
Older,older_80_89,276,29182,2,1,2,True,0.8093174631790746,0.14,0.6693174631790746,1,1,1,0.9571722745895386,0.0649595782160759,False,target,correct,2
Older,older_80_89,277,29674,2,3,3,False,0.5503962474801563,0.11,0.44039624748015627,3,3,3,1.0517030954360962,0.06127195060253143,False,flanker,evidence-origin,1
Older,older_80_89,279,137,3,0,3,True,0.683793641464435,0.11,0.573793641464435,0,0,0,1.0832481384277344,0.0624239444732666,False,target,correct,1
Older,older_80_89,282,21725,1,0,0,False,1.2732430638068684,0.79,0.4832430638068683,1,1,1,0.9482602477073669,0.06651270389556885,True,flanker,fallback,4
Older,older_80_89,283,24657,3,1,3,True,1.8215306360945096,0.6,1.2215306360945095,3,3,3,0.7508962154388428,0.052913859486579895,False,target,correct,5
Older,older_80_89,285,10678,3,1,3,True,1.5293738311295573,0.77,0.7593738311295573,3,3,3,0.8041300773620605,0.05869624763727188,False,target,correct,5
Older,older_80_89,294,5755,3,2,2,False,0.9708579816911764,0.13,0.8408579816911764,2,2,2,0.9979352355003357,0.06828249245882034,False,flanker,evidence-origin,3
Older,older_80_89,295,18743,3,0,3,True,0.6319534804264685,0.17,0.46195348042646844,0,0,0,0.6646323204040527,0.06832543015480042,False,target,correct,1
Older,older_80_89,296,23092,3,0,3,True,0.5930324699197345,0.14,0.45303246991973445,0,0,0,1.0446394681930542,0.06917980313301086,False,target,correct,1
Older,older_80_89,300,2693,2,3,2,True,1.593087465052496,0.62,0.973087465052496,2,2,2,0.6127464771270752,0.02116779237985611,False,target,correct,5
Older,older_80_89,302,19053,0,1,0,True,1.8690795888360858,0.79,1.0790795888360858,0,0,0,0.9981268644332886,0.05303563177585602,True,target,correct,5
Older,older_80_89,303,18352,2,0,2,True,0.7390382565466765,0.1,0.6390382565466766,0,0,0,0.8556994199752808,0.05067853629589081,False,target,correct,1
Older,older_80_89,305,4656,0,1,0,True,1.428607249131693,0.32,1.108607249131693,0,0,0,1.4917353391647339,0.04150857776403427,False,target,correct,5
Older,older_80_89,306,17201,1,3,1,True,1.6498253065022959,0.77,0.8798253065022958,1,1,1,1.1785337924957275,0.06325608491897583,False,target,correct,5
Older,older_80_89,307,19994,2,3,2,True,1.174664047855139,0.22,0.9546640478551389,3,3,3,0.1713663637638092,0.05821600556373596,False,target,correct,4
Older,older_80_89,308,22969,1,2,1,True,0.9756026309597811,0.12,0.8556026309597811,2,2,2,0.8451345562934875,0.05972571671009064,False,target,correct,3
Older,older_80_89,309,25846,3,1,3,True,1.1452263458229441,0.37,0.7752263458229441,3,3,3,0.7213212847709656,0.021121278405189514,False,target,correct,4
Older,older_80_89,311,354,2,3,2,True,0.5853470615255567,0.18,0.4053470615255567,3,3,3,0.29881301522254944,0.05519901216030121,False,target,correct,1
Older,older_80_89,312,28247,0,1,0,True,0.8961230758295022,0.15,0.7461230758295022,1,1,1,0.5750418901443481,0.055667199194431305,False,target,correct,2
Older,older_80_89,314,28360,0,2,2,False,1.744879030358058,0.79,0.9548790303580579,0,0,0,0.6796848773956299,0.004144206643104553,True,flanker,fallback,5
Older,older_80_89,315,2702,0,3,0,True,0.9393539215070456,0.18,0.7593539215070455,3,3,3,0.0023601651191711426,0.049075283110141754,False,target,correct,3
Older,older_80_89,317,26928,1,2,1,True,1.4677454909216103,0.63,0.8377454909216103,1,1,1,0.8993799686431885,0.05652756243944168,False,target,correct,5
Older,older_80_89,318,29680,2,0,2,True,0.5896658736166568,0.1,0.4896658736166568,0,0,0,0.9052430391311646,0.0546380877494812,False,target,correct,1
Older,older_80_89,322,2362,2,0,0,False,1.1923868413841077,0.09,1.1023868413841076,0,0,0,1.2019357681274414,0.057758599519729614,False,flanker,evidence-origin,4
Older,older_80_89,324,21458,0,1,0,True,0.6332765181185893,0.14,0.4932765181185893,1,1,1,0.7926994562149048,0.06197040528059006,False,target,correct,1
Older,older_80_89,326,18224,2,1,2,True,0.9567382354662319,0.15,0.8067382354662319,1,1,1,0.7053428292274475,0.05955754220485687,False,target,correct,3
Older,older_80_89,327,14445,2,1,2,True,0.9788099310647829,0.17,0.8088099310647828,1,1,1,0.40333470702171326,0.05573522299528122,False,target,correct,3
Older,older_80_89,328,4747,0,1,0,True,1.310481248427993,0.7000000000000001,0.610481248427993,0,0,0,1.0182676315307617,0.07294823974370956,False,target,correct,5
Older,older_80_89,336,8549,2,0,0,False,0.713802633094915,0.11,0.603802633094915,0,0,0,0.8160364627838135,0.051136501133441925,False,flanker,evidence-origin,1
Older,older_80_89,338,3264,0,3,3,False,1.027562180477326,0.15,0.877562180477326,3,3,3,0.5033107995986938,0.05771288275718689,False,flanker,evidence-origin,3
Older,older_80_89,339,8366,2,3,2,True,0.7491750230993677,0.24,0.5091750230993677,3,3,3,0.09842616319656372,0.05104383826255798,False,target,correct,1
