condition_id,lag,n,risk_after_correct,risk_after_error,delta
B2_28,4,2631,0.027680311890838208,0.030303030303030304,0.002622718412192096
B2_28,5,2536,0.02547513141932875,0.09523809523809523,0.06976296381876648
B2_30,1,2944,0.026527050610820245,0.012658227848101266,-0.01386882276271898
B2_30,2,2831,0.02719361856417694,0.0273972602739726,0.00020364170979566068
B2_30,3,2728,0.02708803611738149,0.02857142857142857,0.0014833924540470812
B2_30,4,2631,0.027680311890838208,0.030303030303030304,0.002622718412192096
B2_30,5,2536,0.02547513141932875,0.09523809523809523,0.06976296381876648
B2_31,1,2944,0.026527050610820245,0.012658227848101266,-0.01386882276271898
B2_31,2,2831,0.02719361856417694,0.0273972602739726,0.00020364170979566068
B2_31,3,2728,0.02708803611738149,0.02857142857142857,0.0014833924540470812
B2_31,4,2631,0.027680311890838208,0.030303030303030304,0.002622718412192096
B2_31,5,2536,0.02547513141932875,0.09523809523809523,0.06976296381876648
B2_32,1,2944,0.026885474860335195,0.0125,-0.014385474860335194
B2_32,2,2831,0.02756619513964454,0.02702702702702703,-0.0005391681126175121
B2_32,3,2728,0.027474595408355288,0.04225352112676056,0.014778925718405275
B2_32,4,2631,0.02847113884555382,0.029850746268656716,0.0013796074231028944
B2_32,5,2536,0.026294498381877023,0.09375,0.06745550161812297
B2_34,1,2944,0.02653631284916201,0.025,-0.0015363128491620096
B2_34,2,2831,0.02756619513964454,0.02702702702702703,-0.0005391681126175121
B2_34,3,2728,0.027474595408355288,0.028169014084507043,0.0006944186761517548
B2_34,4,2631,0.028081123244929798,0.029850746268656716,0.0017696230237269177
B2_34,5,2536,0.02587949858471492,0.09523809523809523,0.06935859665338032
B2_35,1,2944,0.02653631284916201,0.025,-0.0015363128491620096
B2_35,2,2831,0.027576197387518143,0.02666666666666667,-0.0009095307208514744
B2_35,3,2728,0.02786144578313253,0.027777777777777776,-8.366800535475338e-05
B2_35,4,2631,0.02848224736636754,0.029411764705882353,0.0009295173395148133
B2_35,5,2536,0.026294498381877023,0.09375,0.06745550161812297
B2_36,1,2944,0.027263194687172317,0.03614457831325301,0.008881383626080694
B2_36,2,2831,0.028312159709618874,0.039473684210526314,0.01116152450090744
B2_36,3,2728,0.02824858757062147,0.0547945205479452,0.026545932977323734
B2_36,4,2631,0.02966432474629196,0.028985507246376812,-0.0006788174999151492
B2_36,5,2536,0.028328611898016998,0.06153846153846154,0.033209849640444544
