condition_id,previous_outcome,n,error_match,error_nonmatch,alignment_effect_nonmatch_minus_match,response_repetition,error_response_repetition,conditional_chance
B2_16,correct,2931,0.01950585175552666,0.0272895467160037,0.007783694960477039,0.2644148754691232,0.28378378378378377,0.2657657657657657
B2_16,error,77,0.0,0.017857142857142856,0.017857142857142856,0.2857142857142857,1.0,0.3333333333333333
B2_18,correct,2924,0.018300653594771243,0.030569708198239925,0.012269054603468683,0.2670998632010944,0.375,0.275
B2_18,error,84,0.0,0.03225806451612903,0.03225806451612903,0.27380952380952384,0.5,0.3333333333333333
B2_19,correct,2929,0.018252933507170794,0.02960222016651249,0.011349286659341696,0.2669853192215773,0.3717948717948718,0.2735042735042734
B2_19,error,79,0.0,0.0,0.0,0.27848101265822783,,
B2_20,correct,2930,0.02216427640156454,0.027739251040221916,0.005574974638657377,0.2658703071672355,0.37662337662337664,0.2597402597402597
B2_20,error,78,0.0,0.0,0.0,0.3076923076923077,,
B2_22,correct,2920,0.01832460732984293,0.03339517625231911,0.015070568922476178,0.2702054794520548,0.45348837209302323,0.2790697674418604
B2_22,error,88,0.0,0.015384615384615385,0.015384615384615385,0.26136363636363635,0.0,0.3333333333333333
B2_23,correct,2922,0.0195822454308094,0.03200371057513915,0.012421465144329749,0.270362765229295,0.4642857142857143,0.27380952380952384
B2_23,error,86,0.0,0.01639344262295082,0.01639344262295082,0.29069767441860467,0.0,0.3333333333333333
B2_24,correct,2919,0.020969855832241154,0.03385899814471243,0.012889142312471277,0.27201096265844465,0.5280898876404494,0.27340823970037453
B2_24,error,89,0.0,0.0,0.0,0.2808988764044944,,
B2_26,correct,2928,0.02204928664072633,0.027816411682892908,0.005767125042166577,0.26400273224043713,0.24675324675324675,0.2597402597402597
B2_26,error,80,0.0,0.01694915254237288,0.01694915254237288,0.275,1.0,0.3333333333333333
B2_27,correct,2927,0.02204928664072633,0.02829313543599258,0.0062438487952662484,0.2640929279125384,0.24358974358974358,0.26068376068376065
B2_27,error,81,0.0,0.016666666666666666,0.016666666666666666,0.2716049382716049,1.0,0.3333333333333333
B2_28,correct,2927,0.02204928664072633,0.02829313543599258,0.0062438487952662484,0.2640929279125384,0.24358974358974358,0.26068376068376065
B2_28,error,81,0.0,0.016666666666666666,0.016666666666666666,0.2716049382716049,1.0,0.3333333333333333
B2_30,correct,2927,0.02204928664072633,0.02829313543599258,0.0062438487952662484,0.2640929279125384,0.24358974358974358,0.26068376068376065
B2_30,error,81,0.0,0.016666666666666666,0.016666666666666666,0.2716049382716049,1.0,0.3333333333333333
B2_31,correct,2927,0.02204928664072633,0.02829313543599258,0.0062438487952662484,0.2640929279125384,0.24358974358974358,0.26068376068376065
B2_31,error,81,0.0,0.016666666666666666,0.016666666666666666,0.2716049382716049,1.0,0.3333333333333333
B2_32,correct,2926,0.02207792207792208,0.0287569573283859,0.006679035250463823,0.26452494873547505,0.26582278481012656,0.2616033755274261
B2_32,error,82,0.0,0.016666666666666666,0.016666666666666666,0.2804878048780488,1.0,0.3333333333333333
B2_34,correct,2926,0.02204928664072633,0.028306264501160094,0.006256977860433763,0.2641831852358168,0.24358974358974358,0.26068376068376065
B2_34,error,82,0.0,0.03278688524590164,0.03278688524590164,0.2804878048780488,1.0,0.3333333333333333
B2_35,correct,2926,0.02207792207792208,0.02829313543599258,0.006215213358070501,0.2641831852358168,0.2564102564102564,0.26068376068376065
B2_35,error,82,0.0,0.03278688524590164,0.03278688524590164,0.2804878048780488,1.0,0.3333333333333333
B2_36,correct,2923,0.022135416666666668,0.02923433874709977,0.007098922080433102,0.2641122134793021,0.2625,0.2625
B2_36,error,85,0.0,0.047619047619047616,0.047619047619047616,0.29411764705882354,1.0,0.3333333333333333
