null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,60,C_to_C,0.0012019517278059
participant_current_condition_only,60,I_to_C,0.0009147617967051443
participant_current_condition_only,60,C_to_I,0.004305155065102357
participant_current_condition_only,60,I_to_I,0.0009050799508894475
participant_current_condition_only,61,C_to_C,0.0025183173407809217
participant_current_condition_only,61,I_to_C,0.0002881821884331031
participant_current_condition_only,61,C_to_I,0.002712294747928666
participant_current_condition_only,61,I_to_I,0.0038204443645349466
participant_current_condition_only,62,C_to_C,0.0004448163323793841
participant_current_condition_only,62,I_to_C,0.0015779987795240201
participant_current_condition_only,62,C_to_I,0.00454428760373015
participant_current_condition_only,62,I_to_I,0.0021306609853321257
participant_current_condition_only,63,C_to_C,0.001598047346790822
participant_current_condition_only,63,I_to_C,0.001740157155324176
participant_current_condition_only,63,C_to_I,0.0024207297399316107
participant_current_condition_only,63,I_to_I,0.001675965623627529
participant_current_condition_only,64,C_to_C,0.0011757094297091596
participant_current_condition_only,64,I_to_C,0.0013987506719916356
participant_current_condition_only,64,C_to_I,0.0040625804291237015
participant_current_condition_only,64,I_to_I,0.0010620056209068444
participant_current_condition_only,65,C_to_C,0.0013361213307630988
participant_current_condition_only,65,I_to_C,0.0007112044119188958
participant_current_condition_only,65,C_to_I,0.0038196220602499777
participant_current_condition_only,65,I_to_I,9.78374272211909e-05
participant_current_condition_only,66,C_to_C,0.0005781686847514479
participant_current_condition_only,66,I_to_C,0.0009979477668667493
participant_current_condition_only,66,C_to_I,0.0032611351195212797
participant_current_condition_only,66,I_to_I,0.0023224026251791705
participant_current_condition_only,67,C_to_C,0.0005075822819973679
participant_current_condition_only,67,I_to_C,0.0005952189179794385
participant_current_condition_only,67,C_to_I,0.006299746604070508
participant_current_condition_only,67,I_to_I,0.0023585483650138957
participant_current_condition_only,68,C_to_C,0.0014796584361006398
participant_current_condition_only,68,I_to_C,0.0011555741321704319
participant_current_condition_only,68,C_to_I,0.007404590448245016
participant_current_condition_only,68,I_to_I,0.0015506246758426416
participant_current_condition_only,69,C_to_C,0.00193428268151703
participant_current_condition_only,69,I_to_C,0.001835701253043577
participant_current_condition_only,69,C_to_I,0.0059620087294171824
participant_current_condition_only,69,I_to_I,0.00026302842051683696
participant_current_condition_only,70,C_to_C,0.00011472524845402075
participant_current_condition_only,70,I_to_C,0.0010182911579613583
participant_current_condition_only,70,C_to_I,0.0056855760240543405
participant_current_condition_only,70,I_to_I,0.0006192531742030016
participant_current_condition_only,71,C_to_C,0.0019420477142695646
participant_current_condition_only,71,I_to_C,0.0007433629291686821
participant_current_condition_only,71,C_to_I,0.004152386363082009
participant_current_condition_only,71,I_to_I,0.0018495723843916115
participant_current_condition_only,72,C_to_C,0.001135689889929598
participant_current_condition_only,72,I_to_C,0.0011028948593874743
participant_current_condition_only,72,C_to_I,0.00565173507160411
participant_current_condition_only,72,I_to_I,0.002453965745316297
participant_current_condition_only,73,C_to_C,0.0022534470396397693
participant_current_condition_only,73,I_to_C,0.0009080049281266452
participant_current_condition_only,73,C_to_I,0.006009328685559157
participant_current_condition_only,73,I_to_I,0.001024893571195603
participant_current_condition_only,74,C_to_C,-0.0004578483617097471
participant_current_condition_only,74,I_to_C,0.0007481048514837487
participant_current_condition_only,74,C_to_I,0.0013470475755009736
participant_current_condition_only,74,I_to_I,0.0026370454126125606
participant_current_condition_only,75,C_to_C,0.0005153445613118828
participant_current_condition_only,75,I_to_C,0.0007898956327764135
participant_current_condition_only,75,C_to_I,0.008847831953246498
participant_current_condition_only,75,I_to_I,0.0008470232649213444
participant_current_condition_only,76,C_to_C,0.001712160900780106
participant_current_condition_only,76,I_to_C,0.0006486192820756082
participant_current_condition_only,76,C_to_I,0.002743843950293459
participant_current_condition_only,76,I_to_I,-3.844798635752877e-06
participant_current_condition_only,77,C_to_C,0.0013495339518955782
participant_current_condition_only,77,I_to_C,0.00036532147445510687
participant_current_condition_only,77,C_to_I,0.0041450224173656056
participant_current_condition_only,77,I_to_I,0.002971594178269349
participant_current_condition_only,78,C_to_C,-0.0002475993518864348
participant_current_condition_only,78,I_to_C,0.001746983275499929
participant_current_condition_only,78,C_to_I,0.0005136775053243103
participant_current_condition_only,78,I_to_I,0.0007034096858373168
participant_current_condition_only,79,C_to_C,0.00019255110050775732
participant_current_condition_only,79,I_to_C,0.0004131399402366151
participant_current_condition_only,79,C_to_I,0.0011817620662415145
participant_current_condition_only,79,I_to_I,0.001536296408518512
participant_current_condition_only,80,C_to_C,0.0006080572217756947
participant_current_condition_only,80,I_to_C,-0.00013988995280964192
participant_current_condition_only,80,C_to_I,0.004585139841309293
participant_current_condition_only,80,I_to_I,0.0020371985378486823
participant_current_condition_only,81,C_to_C,0.0008511547835382083
participant_current_condition_only,81,I_to_C,0.0016716593339221053
participant_current_condition_only,81,C_to_I,0.004268079592618768
participant_current_condition_only,81,I_to_I,0.00025692411955883674
participant_current_condition_only,82,C_to_C,-6.479173288891318e-05
participant_current_condition_only,82,I_to_C,0.002165090809132848
