analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,3,0.29,0.15321998,0.08994483,0.003
young_20_29,3,0.3,0.15598303,0.0888652,0.003
young_20_29,3,0.31,0.15876962,0.087673426,0.003
young_20_29,3,0.32,0.16071029,0.0863635,0.003
young_20_29,3,0.33,0.16351461,0.08474817,0.003
young_20_29,3,0.34,0.1682018,0.08277314,0.003
young_20_29,3,0.35000000000000003,0.17240976,0.081299655,0.003
young_20_29,3,0.36,0.17426765,0.08008972,0.003
young_20_29,3,0.37,0.1772298,0.07852343,0.003
young_20_29,3,0.38,0.18158135,0.077635355,0.003
young_20_29,3,0.39,0.18629281,0.076516174,0.003
young_20_29,3,0.4,0.18902972,0.07506639,0.003
young_20_29,3,0.41000000000000003,0.19304425,0.07409431,0.003
young_20_29,3,0.42,0.19680713,0.07350531,0.003
young_20_29,3,0.43,0.20352189,0.07254989,0.003
young_20_29,3,0.44,0.20873138,0.07132222,0.003
young_20_29,3,0.45,0.21254252,0.07044922,0.003
young_20_29,3,0.46,0.2184673,0.06913809,0.003
young_20_29,3,0.47000000000000003,0.22524643,0.06836845,0.003
young_20_29,3,0.48,0.23170699,0.06737991,0.003
young_20_29,3,0.49,0.23619278,0.06611231,0.003
young_20_29,3,0.5,0.24253508,0.06516165,0.003
young_20_29,3,0.51,0.25025237,0.06419945,0.003
young_20_29,3,0.52,0.25609222,0.06313768,0.003
young_20_29,3,0.53,0.26549202,0.061649904,0.003
young_20_29,3,0.54,0.27133033,0.060098875,0.003
young_20_29,3,0.55,0.2790168,0.058786817,0.003
young_20_29,3,0.56,0.289117,0.057829235,0.003
young_20_29,3,0.5700000000000001,0.29899886,0.057134975,0.003
young_20_29,3,0.58,0.31038553,0.056188587,0.003
young_20_29,3,0.59,0.3204614,0.05510207,0.003
young_20_29,3,0.6,0.331782,0.053761564,0.003
young_20_29,3,0.61,0.34277695,0.052810974,0.003
young_20_29,3,0.62,0.35345227,0.05176527,0.003
young_20_29,3,0.63,0.36862293,0.050724845,0.003
young_20_29,3,0.64,0.38099703,0.050571922,0.003
young_20_29,3,0.65,0.39297408,0.049345538,0.003
young_20_29,3,0.66,0.40583172,0.04849434,0.003
young_20_29,3,0.67,0.41784233,0.047158282,0.003
young_20_29,3,0.68,0.43151492,0.04643663,0.003
young_20_29,3,0.6900000000000001,0.44519106,0.045704346,0.003
young_20_29,3,0.7000000000000001,0.45989034,0.044492085,0.003
young_20_29,3,0.71,0.4718377,0.04329362,0.003
young_20_29,3,0.72,0.48462105,0.04252636,0.003
young_20_29,3,0.73,0.5001187,0.04159406,0.003
young_20_29,3,0.74,0.51443315,0.040768523,0.003
young_20_29,3,0.75,0.528306,0.040140122,0.003
young_20_29,3,0.76,0.541469,0.03908991,0.003
young_20_29,3,0.77,0.5545273,0.0379602,0.003
young_20_29,3,0.78,0.55500823,0.03696391,0.003
young_20_29,3,0.79,0.55437154,0.036366276,0.003
young_20_29,4,0.0,0.0994891,0.101779796,0.003
young_20_29,4,0.01,0.099193215,0.103614636,0.003
young_20_29,4,0.02,0.0987152,0.10435325,0.003
young_20_29,4,0.03,0.098890476,0.1054681,0.003
young_20_29,4,0.04,0.099546485,0.10538654,0.003
young_20_29,4,0.05,0.100677736,0.10648278,0.003
young_20_29,4,0.06,0.10198936,0.106723085,0.003
young_20_29,4,0.07,0.103305876,0.10723976,0.003
young_20_29,4,0.08,0.102621615,0.10774444,0.003
young_20_29,4,0.09,0.10379364,0.10655689,0.003
young_20_29,4,0.1,0.10411955,0.106206454,0.003
young_20_29,4,0.11,0.105523124,0.10703059,0.003
young_20_29,4,0.12,0.107371934,0.10750192,0.003
young_20_29,4,0.13,0.10935115,0.10716424,0.003
young_20_29,4,0.14,0.11114516,0.10759121,0.003
young_20_29,4,0.15,0.112167105,0.106922105,0.003
young_20_29,4,0.16,0.1139939,0.10693253,0.003
young_20_29,4,0.17,0.11457133,0.10692494,0.003
young_20_29,4,0.18,0.11658794,0.105926484,0.003
young_20_29,4,0.19,0.11940251,0.105095394,0.003
young_20_29,4,0.2,0.12071651,0.103986494,0.003
young_20_29,4,0.21,0.121730745,0.102197655,0.003
young_20_29,4,0.22,0.12492762,0.10111428,0.003
young_20_29,4,0.23,0.12765373,0.10101882,0.003
young_20_29,4,0.24,0.12941606,0.099696,0.003
